"","code1","code2","question"
"64","ATTFO.P6.","ATTFO.P6.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Les êtres humains dégradent trop les forêts"
"65","ATTFO.P6R.","ATTFO.P6R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je ne crois pas que les forêts soient menacées par les humains"
"66","ATTFO.P8.","ATTFO.P8.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je fais attention à mon comportement lorsque je suis en forêt pour ne pas la dégrader"
"67","ATTFO.P8R.","ATTFO.P8R.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Je ne fais pas particulièrement attention à mon comportement lorsque je suis en forêt"
"68","ATTFO.test.","ATTFO.test.","Veuillez indiquer votre degré d'accord ou de désaccord avec les affirmations suivantes -  Si vous lisez cette affirmation cochez tout à fait d'accord"
"70","ATTBE.EcomenR.","ATTBE.EcomenR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je trouve que le chauffage au bois nécessite un investissement financier trop important"
"71","ATTBE.Ecomen.","ATTBE.Ecomen.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je trouve que le chauffage au bois est moins cher que le gaz et l électricité"
"72","ATTBE.EcolocR.","ATTBE.EcolocR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne pense pas que l essor du bois énergie soutiendra le développement économique de ma région"
"73","ATTBE.Ecoloc.","ATTBE.Ecoloc.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je suis en faveur de l utilisation de bois pour l énergie car cela soutient l économie locale en créant des emplois"
"74","ATTBE.BienEtreR.","ATTBE.BienEtreR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je trouve que le chauffage au bois n est pas agréable"
"75","ATTBE.BienEtre.","ATTBE.BienEtre.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Se chauffer au bois est particulièrement plaisant"
"76","ATTBE.TechR.","ATTBE.Tech.R2.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Se chauffer au bois requiert trop de travail au quotidien"
"77","ATTBE.Tech.","ATTBE.TechR1.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Les autres sources d'énergie ne sont pas aussi contraignantes que le bois"
"78","ATTBE.NatureR.","ATTBE.NatureR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  En me chauffant au bois je me sens plus proche de la nature"
"79","ATTBE.Nature.","ATTBE.Nature.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Le chauffage au bois ne suscite chez moi aucune émotion particulière"
"80","ATTBE.DurableR.","ATTBE.DurableR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne suis pas pour l utilisation de bois pour l énergie car cela dégrade les forêts"
"81","ATTBE.Durable.","ATTBE.Durable.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je suis en faveur de l utilisation du bois pour l énergie car c est renouvelable et durable"
"82","ATTBE.HealthR.","ATTBE.HealthR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne suis pas en faveur du bois énergie car cela dégrade la qualité de l air"
"83","ATTBE.Health.","ATTBE.Health.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Le bois est meilleur que les autres sources d'énergies pour l environnement et la santé"
"84","ATTBC.Ecomen.","ATTBC.Ecomen.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Construire en bois permet de faire des économies d'énergie"
"85","ATTBC.EcomenR.","ATTBC.EcomenR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Le bois est trop cher par rapport aux matériaux de construction comme le béton"
"86","ATTBC.Ecoloc.","ATTBC.Ecoloc.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je suis en faveur du bois de construction car cela permet de redynamiser le tissu économique local"
"87","ATTBC.EcolocR.","ATTBC.EcolocR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne pense pas que construire en bois aura un impact sur l emploi local"
"88","ATTBC.BienEtre.","ATTBC.BienEtre.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je trouve que l utilisation du bois dans la construction permet de créer un environnement chaleureux"
"89","ATTBC.BienEtreR.","ATTBC.BienEtreR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Les constructions en bois sont moins esthétiques que les constructions dans d'autres matériaux comme le béton ou la pierre"
"90","ATTBC.Tech.","ATTBC.Tech.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Construire en bois ne pose pas de problèmes de sécurité et de durabilité"
"91","ATTBC.TechR.","ATTBC.TechR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Il n est pas facile de trouver des entreprises architectes promoteurs pour construire en bois"
"92","ATTBC.Nat.","ATTBC.Nat.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Habiter dans une maison en bois me reconnecte à la nature"
"93","ATTBC.NatR.","ATTBC.NatR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne veux pas que mon habitation m évoque la nature"
"94","ATTBC.DurableR.","ATTBC.DurableR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Le bois n est pas un matériau de construction écologique"
"95","ATTBC.Durable.","ATTBC.Durable.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Construire en bois est durable car le bois est un matériau renouvelable"
"96","ATTBC.OnehealthR.","ATTBC.OnehealthR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Les autres matériaux de construction sont tout aussi bénéfiques que le bois pour la planète"
"97","ATTBC.Onehealth.","ATTBC.Onehealth.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Construire en bois stocke du carbone et aide à lutter contre le changement climatique"
"98","ATTMENACE.SantePos.","ATTMENACE.SanteR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je pense que les forêts françaises sont en bonne santé"
"99","ATTMENACE.SantePosR.","ATTMENACE.CCR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne pense pas que le changement climatique ait de lourdes conséquences sur les forêts françaises"
"100","ATTMENACE.CCNegR.","ATTMENACE.Sante.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne pense pas que les forêts françaises soient en forme"
"101","ATTMENACE.CCNeg.","ATTMENACE.CC.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Le changement climatique fait peser de graves risques sur les forêts françaises"
"102","ATTMENACE.GestionPos.","ATTMENACE.GestionR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je pense que les forêts sont gérées durablement en France"
"103","ATTMENACE.GestionPosR.","ATTMENACE.DefoR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  La déforestation n est pas un problème pour la forêt française"
"104","ATTMENACE.GestioNegR.","ATTMENACE.Defo.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Pour moi la déforestation n épargne pas les forêts françaises"
"105","ATTMENACE.GestionNeg.","ATTMENACE.Gestion.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  L exploitation intensive des forêts françaises par les humains menace leur intégrité"
"106","ATTMENACE.InqNegR.","ATTMENACE.InqR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne pense pas que l exploitation des forêts françaises par les humains endommagera la planète"
"107","ATTMENACE.InqNeg.","ATTMENACE.NoptR.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je suis plutôt optimiste quant à l avenir des forêts en France"
"108","ATTMENACE.InqPosR.","ATTMENACE.Nopt.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je ne suis pas très optimiste vis à vis du futur de la forêt française"
"109","ATTMENACE.InqPos.","ATTMENACE.Inq.","Veuillez indiquer votre degré d'accord ou de désaccord avec les propositions suivantes -  Je pense que l exploitation des forêts françaises par les humains impactera notre bien être futur"
